plateifus,gas best angle,gas error angle,stellar best angle,stellar error angle,delta PA,category,Galaxy Type,,,,,
9193-1901,52,0.5,53.5,4.5,-1.5,co-rotate,Composite,,,,,
7815-1901,1.5,3.00000000000001,66.5,38.25,-65,offset,Seyfert,,Composite,Seyfert,LINER,Star
7972-9102,93,0.5,152,18.75,-59,offset,x,,28,27,81,109
8618-6103,73,0.5,5,14.75,68,offset,x,,,,,
7815-1902,11.5,0.5,178.5,37.5,-167,counter-rotate,x,,,,,
7977-1901,58,0.5,41.5,37.25,16.5,co-rotate,LINER,,,,,
9183-1902,167,25.5,122.5,30,44.5,offset,x,,,,,
8486-3703,120.5,0.5,40.5,18.5,80,offset,x,,,,,
8486-6103,89,0.5,79.5,22,9.5,co-rotate,LINER,,,,,
9869-3701,24.5,8.25,122.5,7,-98,offset,LINER,,,,,
9029-3701,10.5,0.5,26,8,-15.5,co-rotate,x,,,,,
9029-1901,31.5,0.5,98,15.75,-66.5,offset,x,,,,,
8601-3704,39.5,0.5,8.5,6.75,31,offset,x,,,,,
8999-1902,130,0.5,43.5,8,86.5,offset,LINER,,,,,
8144-1902,79,0.5,121,89.75,-42,offset,x,,,,,
9184-1902,38,0.5,93.5,3.75,-55.5,offset,LINER,,,,,
8149-1902,40,0.5,10,13.75,30,offset,x,,,,,
8990-3704,113,0.5,20,13.75,93,offset,x,,,,,
8990-1901,150.5,0.5,14.5,17.5,136,offset,x,,,,,
9185-1901,105,0.5,96.5,89.75,8.5,co-rotate,LINER,,,,,
7958-1901,126.5,0.5,138,89.75,-11.5,co-rotate,Seyfert,,,,,
8623-9102,26.5,0.5,92.5,9,-66,offset,LINER,,,,,
8623-6102,117.5,0.5,29.5,6.25,88,offset,LINER,,,,,
9034-1902,60.5,0.5,172.5,5.75,-112,offset,LINER,,,,,
9034-3701,158.5,0.5,176.5,89.75,-18,co-rotate,x,,,,,
9872-3703,109.5,0.5,171,13.5,-61.5,offset,x,,,,,
9037-6102,153.5,0.5,78,14.5,75.5,offset,x,,,,,
9037-1901,52.5,0.5,150.5,29.25,-98,offset,LINER,,,,,
9038-1902,118.5,0.75,43,89.75,75.5,offset,x,,,,,
8145-6102,41,0.5,159,5,-118,offset,x,,,,,
8937-3702,4.5,0.5,69,10.75,-64.5,offset,x,,,,,
8485-1902,149,0.5,88,12.5,61,offset,x,,,,,
9031-1901,57.5,0.5,59.5,9.75,-2,co-rotate,x,,,,,
8604-1902,23,0.5,136.5,5.25,-113.5,offset,x,,,,,
8312-3703,94,0.5,151.5,4.25,-57.5,offset,x,,,,,
8602-1902,2.5,0.5,137.5,13.25,-135,offset,x,,,,,
8601-3701,108,0.5,153.5,5.5,-45.5,offset,x,,,,,
8602-3704,126.5,0.5,175.5,4.5,-49,offset,x,,,,,
8980-3701,17.5,0.5,158,36.25,-140.5,offset,Seyfert,,,,,
8980-1902,165.5,0.5,3.5,4.25,162,counter-rotate,LINER,,,,,
8625-1902,78,0.5,1,7.25,77,offset,x,,,,,
8626-1901,160.5,0.5,126.5,9.75,34,offset,x,,,,,
8595-1901,60,0.5,40,13.75,20,co-rotate,LINER,,,,,
9865-6103,17.5,0.5,112.5,10.75,-95,offset,LINER,,,,,
9037-3703,121,0.5,3.5,17.25,117.5,offset,LINER,,,,,
7443-1902,52.5,0.5,174,12.75,-121.5,offset,x,,,,,
8335-1902,74.5,0.5,75,12.75,-0.5,co-rotate,x,,,,,
8454-1901,10,0.5,51.5,29.75,-41.5,offset,x,,,,,
8455-1901,91.5,0.5,75.5,33.25,16,co-rotate,x,,,,,
8253-1902,18.5,12.25,27.5,10.25,-9,co-rotate,Seyfert,,,,,
8451-1901,32.5,0.5,173,7.25,-140.5,offset,x,,,,,
8255-1902,13,0.5,98.5,16.5,-85.5,offset,x,,,,,
8274-1902,5,0.5,65.5,39.5,-60.5,offset,LINER,,,,,
8451-1902,154,0.5,23.5,89.75,130.5,offset,Seyfert,,,,,
8464-1901,18,0.5,101,17.5,-83,offset,LINER,,,,,
8263-3704,158.5,2,84.5,9.5,74,offset,Composite,,,,,
9088-1902,14.5,0.5,6.5,5.25,8,co-rotate,x,,,,,
8333-1901,61.5,0.5,9,18.5,52.5,offset,x,,,,,
8256-1901,159.5,0.5,57.5,13.75,102,offset,x,,,,,
8274-3702,147,0.5,144,2.75,3,co-rotate,x,,,,,
8256-3702,57.5,0.5,134,5,-76.5,offset,x,,,,,
8257-1901,74.5,0.5,148,12.5,-73.5,offset,x,,,,,
8993-1902,66,0.5,155,6,-89,offset,x,,,,,
8939-1901,72,0.5,65.5,24,6.5,co-rotate,x,,,,,
