,plateifus
0,9193-1901
1,7815-1901
2,7972-9102
3,8618-6103
4,7815-1902
5,7977-1901
6,9183-1902
7,8486-3703
8,8486-6103
9,9869-3701
10,9029-3701
11,9029-1901
12,8601-3704
13,8999-1902
14,8144-1902
15,9184-1902
16,8149-1902
17,8990-3704
18,8990-1901
19,9185-1901
20,7958-1901
21,8623-9102
22,8623-6102
23,9034-1902
24,9034-3701
25,9872-3703
26,9037-6102
27,9037-1901
28,9038-1902
29,8145-6102
30,8937-3702
31,8485-1902
32,9031-1901
33,8604-1902
34,8312-3703
35,8602-1902
36,8601-3701
37,8602-3704
38,8980-3701
39,8980-1902
40,8625-1902
41,8626-1901
42,8595-1901
43,9865-6103
44,9037-3703
45,7443-1902
46,8335-1902
47,8454-1901
48,8455-1901
49,8253-1902
50,8451-1901
51,8255-1902
52,8274-1902
53,8451-1902
54,8464-1901
55,8263-3704
56,9088-1902
57,8333-1901
58,8256-1901
59,8274-3702
60,8256-3702
61,8257-1901
62,8993-1902
63,8939-1901
64,8462-1901
65,8315-1901
66,8566-1901
67,8566-3702
68,8567-1901
69,8077-1901
70,9194-1902
71,9193-3702
72,8080-1901
73,8711-6104
74,8711-1901
75,8712-3701
76,8082-3703
77,8085-1901
78,8084-1901
79,9488-3701
80,9494-3703
81,9502-1902
82,9505-1902
83,9505-3704
84,8984-3702
85,8935-9102
86,8445-1901
87,9494-1902
88,9505-3701
89,8446-3702
90,8444-3703
91,8140-1901
92,8140-3703
93,8719-3704
94,8931-6101
95,9863-3702
96,8931-1901
97,8934-3704
98,8931-3702
99,8931-3701
100,8950-3702
101,8934-3702
102,8935-6102
103,9863-6102
104,8933-3701
105,8933-6101
106,8933-1901
107,9876-1902
108,8931-3704
109,9863-6103
110,8950-3703
111,8953-3702
112,8479-3703
113,8480-3701
114,8935-3701
115,9876-1901
116,8934-1901
117,9863-1902
118,8935-1901
119,8934-1902
120,8935-1902
121,8983-1901
122,8983-3702
123,8952-1902
124,8724-3703
125,8721-1902
126,8727-1902
127,8727-6101
128,9512-6104
129,7957-3702
130,8719-3701
131,8719-1901
132,8252-1901
133,8931-1902
134,8329-3704
135,7957-1901
136,9486-3704
137,8553-6101
138,8553-3701
139,9193-12703
140,8618-3703
141,8977-1901
142,9183-12701
143,9181-1902
144,9183-6102
145,9486-1901
146,9486-12705
147,8486-6104
148,8486-9101
149,8486-1901
150,8312-6104
151,9869-12704
152,8312-6103
153,9869-6102
154,8601-6102
155,9869-12701
156,8588-6103
157,8606-3704
158,8606-12702
159,8249-12702
160,8149-1901
161,8149-3703
162,8453-6101
163,8453-6104
164,8453-1901
165,8999-12705
166,8999-6101
167,8992-1902
168,8997-3704
169,8997-3703
170,8997-12703
171,8992-3703
172,9184-1901
173,9184-3703
174,8439-1902
175,8941-9101
176,8461-1902
177,8461-9102
178,8461-6102
